-25000,-24740,-24480,-24220,-23960,-23700,-23440,-23180,-22920,-22660,-22400,-22140,-21880,-21620,-21360,-21100,-20840,-20580,-20320,-20060,-19800,-19540,-19280,-19020,-18760,-18500,-18240,-17980,-17720,-17460,-17200,-16940,-16680,-16420,-16160,-15900,-15640,-15380,-15120,-14860,-14600,-14340,-14080,-13820,-13560,-13300,-13040,-12780,-12520,-12260,-12000,-11740,-11480,-11220,-10960,-10700,-10440,-10180,-9920,-9660,-9400,-9140,-8880,-8620,-8360,-8100,-7840,-7580,-7320,-7060,-6800,-6540,-6280,-6020,-5760,-5500,-5240,-4980,-4720,-4460,-4200,-3940,-3680,-3420,-3160,-2900,-2640,-2380,-2120,-1860,-1600,-1340,-1080,-820,-560,-300,-40,220,480,740,
0.00227809,526.701,526.69,526.678,526.667,526.655,526.642,526.63,526.617,526.604,526.59,526.577,526.563,526.548,526.533,526.518,526.503,526.487,526.471,526.454,526.437,526.419,526.401,526.383,526.364,526.344,526.324,526.303,526.282,526.26,526.238,526.214,526.19,526.166,526.14,526.114,526.087,526.059,526.029,525.999,525.968,525.936,525.903,525.868,525.832,525.795,525.756,525.716,525.674,525.63,525.585,525.537,525.488,525.436,525.381,525.325,525.265,525.202,525.136,525.067,524.994,524.917,524.835,524.749,524.658,524.561,524.457,524.347,524.229,524.102,523.967,523.821,523.663,523.492,523.306,523.103,522.882,522.638,522.368,522.068,521.734,521.357,520.931,520.444,519.882,519.226,518.452,517.524,516.389,514.973,513.153,510.728,507.337,502.254,493.784,476.803,425.275,5.15967e-08,657.678,582.522,563.22,
0.00455617,525.328,525.306,525.283,525.259,525.235,525.21,525.185,525.159,525.133,525.106,525.078,525.05,525.021,524.992,524.961,524.93,524.899,524.866,524.832,524.798,524.763,524.727,524.689,524.651,524.612,524.572,524.53,524.487,524.443,524.398,524.352,524.303,524.254,524.203,524.15,524.095,524.039,523.981,523.92,523.858,523.793,523.726,523.657,523.585,523.51,523.432,523.351,523.267,523.179,523.087,522.992,522.892,522.788,522.679,522.564,522.444,522.318,522.186,522.047,521.9,521.745,521.581,521.407,521.223,521.027,520.819,520.597,520.359,520.104,519.831,519.536,519.218,518.873,518.499,518.09,517.642,517.149,516.604,515.998,515.321,514.559,513.695,512.707,511.567,510.235,508.66,506.769,504.454,501.556,497.823,492.832,485.818,475.238,457.439,421.227,308.112,-3.01551e-06,730.181,631.123,595.964,
0.00683426,523.952,523.918,523.883,523.848,523.811,523.774,523.736,523.698,523.658,523.618,523.576,523.534,523.49,523.446,523.4,523.353,523.305,523.256,523.206,523.154,523.101,523.047,522.991,522.933,522.874,522.814,522.751,522.687,522.621,522.552,522.482,522.41,522.335,522.258,522.178,522.096,522.011,521.924,521.833,521.739,521.641,521.541,521.436,521.327,521.214,521.097,520.975,520.848,520.716,520.578,520.434,520.284,520.127,519.962,519.79,519.609,519.419,519.219,519.009,518.787,518.553,518.306,518.044,517.766,517.47,517.156,516.82,516.461,516.076,515.663,515.218,514.737,514.215,513.648,513.029,512.351,511.604,510.778,509.86,508.832,507.675,506.363,504.861,503.125,501.096,498.693,495.803,492.261,487.816,482.074,474.371,463.495,446.979,418.912,360.67,149.814,-1.01308e-06,757.338,673.369,626.249,
0.00911235,522.572,522.526,522.48,522.432,522.384,522.334,522.284,522.232,522.179,522.125,522.069,522.013,521.955,521.895,521.834,521.772,521.708,521.642,521.574,521.505,521.434,521.362,521.287,521.21,521.131,521.05,520.966,520.88,520.791,520.7,520.606,520.509,520.409,520.306,520.2,520.09,519.976,519.859,519.737,519.611,519.481,519.346,519.206,519.06,518.909,518.752,518.589,518.419,518.242,518.057,517.864,517.663,517.452,517.232,517,516.758,516.504,516.236,515.954,515.657,515.343,515.011,514.659,514.286,513.89,513.468,513.017,512.535,512.018,511.463,510.865,510.218,509.517,508.754,507.921,507.008,506.003,504.89,503.652,502.267,500.705,498.932,496.902,494.554,491.806,488.549,484.624,479.805,473.745,465.895,455.327,440.333,417.4,377.94,293.267,-3.97635e-08,2.58827e-07,768.819,708.966,654.025,
0.0113904,521.188,521.131,521.073,521.014,520.953,520.891,520.827,520.762,520.696,520.628,520.558,520.487,520.414,520.34,520.263,520.185,520.105,520.022,519.938,519.851,519.762,519.671,519.577,519.481,519.382,519.28,519.175,519.067,518.956,518.842,518.724,518.602,518.477,518.347,518.214,518.076,517.933,517.786,517.633,517.475,517.312,517.142,516.966,516.784,516.594,516.397,516.192,515.978,515.756,515.524,515.282,515.029,514.764,514.487,514.197,513.892,513.572,513.236,512.882,512.508,512.113,511.696,511.254,510.785,510.286,509.754,509.187,508.58,507.93,507.23,506.477,505.662,504.778,503.816,502.765,501.613,500.344,498.939,497.375,495.623,493.648,491.403,488.831,485.853,482.365,478.224,473.227,467.081,459.336,449.274,435.678,416.285,386.373,334.02,213.752,2.1192e-07,404.273,773.907,738.023,679.264,
0.0136685,519.801,519.732,519.662,519.591,519.518,519.443,519.367,519.288,519.209,519.127,519.043,518.958,518.87,518.78,518.688,518.594,518.497,518.398,518.296,518.192,518.085,517.975,517.862,517.746,517.627,517.504,517.378,517.248,517.114,516.976,516.834,516.688,516.537,516.381,516.22,516.054,515.883,515.705,515.521,515.331,515.134,514.929,514.717,514.497,514.269,514.031,513.784,513.527,513.259,512.979,512.687,512.382,512.063,511.729,511.379,511.011,510.625,510.219,509.792,509.341,508.864,508.361,507.827,507.26,506.658,506.016,505.33,504.597,503.811,502.965,502.053,501.067,499.998,498.834,497.562,496.166,494.628,492.924,491.027,488.901,486.502,483.774,480.645,477.019,472.768,467.714,461.608,454.082,444.577,432.193,415.389,391.275,353.687,286.176,97.1576,-5.7712e-08,392.767,775.454,761.045,701.973,
0.0159466,518.41,518.33,518.248,518.164,518.079,517.991,517.902,517.811,517.717,517.621,517.524,517.423,517.321,517.216,517.108,516.998,516.885,516.769,516.65,516.528,516.402,516.274,516.141,516.006,515.866,515.722,515.575,515.422,515.266,515.105,514.938,514.767,514.59,514.408,514.22,514.025,513.824,513.616,513.401,513.178,512.947,512.708,512.459,512.201,511.934,511.655,511.366,511.064,510.75,510.422,510.08,509.722,509.348,508.956,508.546,508.115,507.662,507.186,506.684,506.155,505.596,505.005,504.378,503.713,503.005,502.251,501.446,500.585,499.661,498.667,497.595,496.435,495.177,493.807,492.309,490.665,488.853,486.845,484.607,482.098,479.266,476.043,472.343,468.051,463.013,457.017,449.761,440.8,429.455,414.627,394.414,365.197,319.002,232.364,4.39852e-08,1.80714e-08,405.665,774.651,778.795,722.2,
0.0182247,517.015,516.924,516.83,516.734,516.636,516.536,516.433,516.329,516.221,516.112,516,515.885,515.767,515.647,515.523,515.397,515.267,515.134,514.998,514.858,514.714,514.567,514.415,514.259,514.099,513.935,513.765,513.591,513.411,513.226,513.036,512.839,512.636,512.427,512.211,511.988,511.757,511.519,511.272,511.016,510.751,510.476,510.191,509.896,509.588,509.269,508.936,508.59,508.229,507.853,507.46,507.049,506.619,506.169,505.698,505.203,504.683,504.135,503.559,502.951,502.308,501.628,500.908,500.143,499.329,498.461,497.535,496.543,495.479,494.335,493.1,491.764,490.314,488.735,487.008,485.111,483.02,480.701,478.116,475.215,471.939,468.208,463.922,458.945,453.097,446.127,437.678,427.224,413.953,396.546,372.691,337.892,281.743,167.288,1.4305e-08,-4.68082e-07,417.687,772.152,792.118,740.033,
0.0205028,515.617,515.514,515.408,515.3,515.189,515.076,514.96,514.842,514.721,514.598,514.471,514.342,514.209,514.073,513.934,513.791,513.645,513.495,513.341,513.183,513.021,512.854,512.683,512.508,512.327,512.141,511.95,511.753,511.55,511.341,511.126,510.904,510.676,510.439,510.195,509.943,509.683,509.413,509.134,508.846,508.546,508.236,507.914,507.58,507.233,506.872,506.496,506.105,505.697,505.271,504.827,504.363,503.877,503.368,502.835,502.275,501.687,501.068,500.416,499.728,499.001,498.231,497.415,496.549,495.628,494.645,493.596,492.472,491.267,489.969,488.569,487.054,485.409,483.617,481.656,479.503,477.126,474.491,471.55,468.25,464.52,460.268,455.38,449.698,443.014,435.037,425.351,413.34,398.049,377.909,350.131,309.119,240.877,62.9155,5.61388e-07,3.5296e-08,427.744,768.398,801.819,755.591,
0.0227809,514.215,514.1,513.982,513.861,513.738,513.612,513.484,513.352,513.217,513.08,512.939,512.794,512.646,512.495,512.34,512.181,512.018,511.851,511.679,511.503,511.322,511.137,510.946,510.75,510.549,510.341,510.128,509.909,509.683,509.45,509.21,508.963,508.707,508.444,508.172,507.891,507.6,507.3,506.988,506.666,506.332,505.986,505.627,505.254,504.867,504.464,504.044,503.608,503.153,502.678,502.182,501.663,501.121,500.553,499.957,499.332,498.675,497.983,497.255,496.486,495.673,494.813,493.901,492.932,491.902,490.803,489.629,488.372,487.022,485.57,484.002,482.305,480.462,478.453,476.255,473.839,471.172,468.213,464.911,461.202,457.006,452.221,446.714,440.307,432.761,423.742,412.77,399.133,381.714,358.663,326.611,278.509,194.298,4.22065e-08,-7.55779e-10,3.35618e-08,436.114,763.723,808.598,769.024,
0.025059,512.81,512.682,512.552,512.419,512.283,512.145,512.003,511.857,511.709,511.557,511.401,511.242,511.079,510.912,510.741,510.565,510.386,510.201,510.012,509.817,509.618,509.413,509.203,508.987,508.764,508.536,508.3,508.058,507.809,507.552,507.287,507.014,506.732,506.441,506.141,505.83,505.509,505.178,504.834,504.478,504.11,503.727,503.33,502.919,502.49,502.045,501.582,501.099,500.596,500.072,499.523,498.951,498.351,497.723,497.064,496.373,495.646,494.881,494.075,493.225,492.325,491.374,490.364,489.292,488.151,486.934,485.634,484.241,482.746,481.136,479.398,477.516,475.471,473.242,470.802,468.12,465.157,461.868,458.195,454.068,449.396,444.064,437.921,430.768,422.332,412.232,399.922,384.581,364.914,338.734,301.958,245.458,136.436,1.2743e-08,2.29394e-08,-2.66733e-07,443.135,758.388,813.035,780.495,
0.027337,511.4,511.261,511.119,510.973,510.825,510.673,510.518,510.359,510.196,510.03,509.86,509.686,509.507,509.324,509.137,508.945,508.748,508.546,508.339,508.127,507.908,507.684,507.454,507.217,506.974,506.724,506.466,506.201,505.928,505.647,505.357,505.058,504.749,504.431,504.102,503.762,503.411,503.047,502.671,502.281,501.877,501.459,501.024,500.573,500.104,499.616,499.108,498.58,498.028,497.453,496.852,496.224,495.567,494.878,494.156,493.398,492.601,491.762,490.878,489.944,488.958,487.913,486.805,485.628,484.375,483.039,481.61,480.08,478.437,476.667,474.756,472.687,470.437,467.984,465.298,462.343,459.079,455.454,451.403,446.848,441.688,435.795,428.999,421.075,411.719,400.499,386.793,369.661,347.601,318.028,275.916,208.888,25.3622,-1.11038e-08,-7.83177e-09,-1.08438e-06,449.083,752.603,815.6,790.175,
